"","tcga.dataset","B-cells","DC","Macrophages","Exhausted CD8","T-cells","CD8 T cells","Neutrophils","Cytotoxic cells","Treg","NK CD56dim cells","Mast cells","NK cells","CD45","Th1 cells"
"TCGA.OR.A5J7.01A.11R.A29S.07","ACC",0.937292947533316,1.54424413564315,5.38030847509088,1.68559887924575,0.931346001684727,1.67226473373111,1.4494474561205,1.50491097515755,2.82150614189749,0.483383717720199,0.097311985637048,0,3.70417478845644,1.13973142224374
"TCGA.OR.A5KO.01A.11R.A29S.07","ACC",0.385878230064822,1.8492812716062,5.15476203570435,2.50368829000002,1.27945421099285,2.02052266008609,1.08570653546826,1.88401244316158,3.37984272749168,0.694410189465867,1.81301877272268,0,3.4994377299815,1.2665167127545
"TCGA.OR.A5J1.01A.11R.A29S.07","ACC",0.297593367165736,1.58090916627125,7.31955898752094,2.35522277111173,3.5292221678232,3.94664166965857,2.99426024154276,3.82903289739802,6.66245903159832,1.11848470296838,2.87069767628689,0.377259722935459,7.04574765024814,3.11850923749817
"TCGA.OR.A5KZ.01A.11R.A29S.07","ACC",1.07879662854879,4.448576673443,7.01499088551637,3.96256048152048,3.5261446773125,3.55783434112605,1.85321763882494,3.75023167378867,2.0152120850685,0.720860305454003,0.84384115277283,0.953965814230002,6.66684320778612,2.93860572790935
"TCGA.OR.A5JR.01A.11R.A29S.07","ACC",1.28626162828009,2.28503817468919,7.73347134424272,4.90788981526027,4.10579206434498,5.13070940722684,2.72692379177248,5.37495893900394,2.10292682718626,1.91231736263851,4.58332165716549,2.83030361509036,8.17623748912836,3.61678112654751
"TCGA.OR.A5K4.01A.11R.A29S.07","ACC",0.663191525749607,1.16078908158145,5.16681488760854,2.3681549942105,1.41287985529277,2.96021870883767,1.87615111601637,2.88247076317675,2.84281796483631,1.66561888791161,2.44567162293755,0.575409308900751,4.4039221047398,1.08440448293435
"TCGA.OR.A5JS.01A.11R.A29S.07","ACC",0.725195115079327,2.57950422312095,4.95516575405352,2.22761913866541,2.509999273345,3.58176624887729,1.74675962190047,3.00937576578174,3.20542379398276,0.540681413211551,1.94499540910085,0.417726761123015,4.53590364820557,2.23253796900852
"TCGA.OR.A5K5.01A.11R.A29S.07","ACC",0.531738467470906,1.95439206234842,5.985440282152,2.32566048307189,1.38650629345564,1.82098684389159,1.89341373843292,2.80484445295702,1.9110012237473,2.24443210904477,1.26222234083673,0.31337638511131,4.05465749389237,0.545276500131239
"TCGA.PK.A5H8.01A.11R.A29S.07","ACC",0.652125738266134,3.01755295331003,8.34672718508562,2.81015530655755,1.37884243453342,1.64229408063144,3.82347933873553,2.22412616621605,3.69056236347442,0.45994959587673,1.38849787012314,0.233361516497697,7.26119887445924,0
"TCGA.OR.A5L8.01A.11R.A29S.07","ACC",1.0122738274036,1.59592191924563,5.12868780211845,2.29904689524526,0.902539348776694,1.90346468211029,0.990523058323143,2.37548744618977,2.07597752188837,0.921576320579083,1.18119626272815,0.97117385334551,4.56957615401711,1.3764015265936
"TCGA.OR.A5JW.01A.11R.A29S.07","ACC",0.487593883402232,1.34475520833187,6.82543926197855,3.06482880964331,1.25034741649044,0.930521114147944,2.90391726090107,1.83668901939861,2.02711865619611,0.766886274242791,2.16911313497917,0,6.73806658144745,1.86104222829589
"TCGA.OR.A5JO.01A.11R.A29S.07","ACC",3.19824749646557,8.6575566187962,10.1383781461335,7.44836267257422,6.4112787843065,7.06713302735035,3.86995307722212,8.4556949454629,3.02078664092199,3.7984518415597,10.5747352955225,5.12640382958319,9.98182625880556,5.97934630583803
"TCGA.OR.A5JX.01A.11R.A29S.07","ACC",1.57564544206655,0.91951198374958,6.24494294450313,3.37770114348827,2.35100451829599,3.17027513859856,2.73358358904391,4.21288820150929,3.95688373396541,2.20321129161778,3.35734401112039,0.640372622271109,5.45313891261581,2.29033592843936
"TCGA.OR.A5LS.01A.11R.A29S.07","ACC",1.8404817119457,1.90778601850724,6.46035902283382,2.97056530806686,1.03504698263928,1.41376726074415,2.03936815823703,2.51974943498764,2.34655982775468,1.24901071283842,2.11806820171224,0.248799588849048,5.8218377460881,1.60069793057584
"TCGA.OR.A5KU.01A.11R.A29S.07","ACC",0.998198754055452,3.82087440223522,5.64072992550672,3.34519941726166,1.88928459020541,1.8042804147051,0.792324166569493,2.59533692044166,2.45945784921776,2.05944760680991,3.28402561327431,0.536861637067141,4.18531155586772,1.69715106708437
"TCGA.OR.A5K0.01A.11R.A29S.07","ACC",0.183636497806939,2.20415526815017,5.79278196473294,1.96246889122952,1.24659027099689,2.292877320091,0.908166491358233,2.63492123554173,2.0622944380428,0.636648827782941,1.57594444903055,0.204038850741628,3.53241671007891,1.04061192803757
"TCGA.OR.A5K6.01A.11R.A29S.07","ACC",0.415222206164597,2.34117063667888,7.48252203969824,1.96536277230462,1.64945918259082,2.57867419211104,2.88643942627507,2.55752339274193,4.74688242173317,2.24671088024515,2.17045594197491,0,6.02478507541993,1.81721392425833
"TCGA.OR.A5KX.01A.11R.A29S.07","ACC",0.277717667784929,2.44196558012262,6.51581849309706,3.12832979012824,1.8929497380742,1.95565132202591,2.08047245173787,3.60835252722927,2.27881740307472,0.377556856468504,3.98034915306964,0.427776389350547,4.63810860049781,1.54201035553661
"TCGA.PK.A5HA.01A.11R.A29S.07","ACC",0.376216986795904,8.32924728821193,10.112747512285,4.96570800088008,4.72549700583701,5.8791462467391,3.52897744671348,5.80019953147929,3.99800589998219,0.805658245889582,4.89660959598765,2.35276837016696,8.88870642013706,4.38167099279845
"TCGA.OR.A5LR.01A.11R.A29S.07","ACC",0.906446888170681,3.81017291549753,8.13653600591278,2.85380817784904,3.083328416038,3.75534345480942,2.57322032323929,3.798498856857,3.23163208623391,1.90962333542519,5.9499373800894,1.82219862266927,7.06667476272446,2.77772479287386
"TCGA.OR.A5JM.01A.11R.A29S.07","ACC",0.0996589501947636,1.27437694304644,4.646949506533,2.13853828314307,1.24301875842924,0.722889832375439,1.03116148451149,0.469698194433069,3.20204152173188,0.700924465262062,0.683666624517649,0,3.60962496249634,0.517023672064581
"TCGA.OR.A5JI.01A.11R.A29S.07","ACC",1.51708405212296,5.88795888488109,8.34311512622693,5.84500761587537,4.94413484206317,6.52524895981587,1.92317503426635,5.66544995174283,5.45204186494195,2.05408892862965,4.2649289334972,3.02739830358028,8.26302501325738,4.79841347648475
"TCGA.OR.A5LG.01A.11R.A29S.07","ACC",0.198095481855359,6.48565262844543,7.94817524669304,3.47488166358395,3.27854041914819,5.15756166267572,2.40622751260966,4.45582753322831,1.24184018356467,1.48858535833169,1.24520681767166,0.57051298591151,6.71695660941959,3.04966561501004
"TCGA.OR.A5JB.01A.11R.A29S.07","ACC",1.36612683223665,6.3413201634761,9.42181518033563,6.72878676741092,6.7818357467166,8.93381670798034,5.17451838117865,8.29822181931401,5.53398687525927,3.38780291249848,4.46922940446282,3.43831858028441,9.22527251946229,5.29719875477222
"TCGA.OR.A5LB.01A.11R.A29S.07","ACC",0.27793768279543,1.50580553894739,5.63912354372014,1.69564658822426,0.904490522963891,1.72179255185477,1.24098708139982,2.12876872201378,3.3739404788422,0.98796090201621,1.7480198910055,0,4.48849572833574,0
"TCGA.OR.A5JE.01A.11R.A29S.07","ACC",0.643463426913755,2.26590531209397,7.33867979506783,1.6988596914968,1.79118235754085,1.98790527336708,2.5869596330047,2.4097762071324,3.50183400102007,2.69984888164764,2.23787304502546,0,5.63350386641492,0.646715661077354
"TCGA.OR.A5J6.01A.31R.A29S.07","ACC",1.26730934129625,8.71331092123261,9.00143557539682,2.92825241896216,2.90292357912625,3.69520059590013,3.0068885135053,4.94022161062234,2.8598105648013,1.01325036455506,0,0.935174946510088,6.94707699057712,3.53832708264936
"TCGA.OR.A5LK.01A.11R.A29S.07","ACC",3.22795906172851,6.16246438792537,8.98803547795116,6.20861837188805,6.19183457460414,7.83637564750057,3.8273593801599,6.71744024073626,4.79771858412479,2.55206189707358,10.266698553768,2.89717814556024,10.027039151851,4.72376059015897
